COUNTYFIPS,NAME,STATEPLANEFIPS,EPSG
12059,Holmes County,0903,26960
42019,Butler County,3702,32129
39145,Scioto County,3402,32123
46049,Faulk County,4001,32134
46047,Fall River County,4002,32135
42011,Berks County,3702,32129
46045,Edmunds County,4001,32134
42013,Blair County,3702,32129
46043,Douglas County,4002,32135
42015,Bradford County,3701,32128
46041,Dewey County,4001,32134
42017,Bucks County,3702,32129
51159,Richmond County,4502,32147
20161,Riley County,1501,26977
51153,Prince William County,4501,32146
51155,Pulaski County,4502,32147
51157,Rappahannock County,4501,32146
48345,Motley County,4202,32138
48343,Morris County,4202,32138
21097,Harrison County,1601,2205
21095,Harlan County,1602,26980
21093,Hardin County,1602,26980
21091,Hancock County,1602,26980
48341,Moore County,4201,32137
55001,Adams County,4803,32154
21099,Hart County,1602,26980
26067,Ionia County,2113,26990
17153,Pulaski County,1202,26972
26065,Ingham County,2113,26990
26063,Huron County,2113,26990
26061,Houghton County,2111,26988
02261,Valdez-Cordova CA,5003,26933
26069,Iosco County,2112,26989
17189,Washington County,1202,26972
17181,Union County,1202,26972
17183,Vermilion County,1201,26971
17185,Wabash County,1201,26971
17187,Warren County,1202,26972
37103,Jones County,3200,32119
17167,Sangamon County,1202,26972
17165,Saline County,1201,26971
17163,St. Clair County,1202,26972
17161,Rock Island County,1202,26972
01061,Geneva County,0101,26929
01063,Greene County,0102,26930
17159,Richland County,1201,26971
01067,Henry County,0101,26929
54085,Ritchie County,4701,32150
48329,Midland County,4203,32139
08051,Gunnison County,0502,26954
48321,Matagorda County,4204,32140
48323,Maverick County,4204,32140
48325,Medina County,4204,32140
08057,Jackson County,0501,26953
48453,Travis County,4203,32139
48103,Crane County,4203,32139
48457,Tyler County,4203,32139
48455,Trinity County,4203,32139
48109,Culberson County,4203,32139
08055,Huerfano County,0503,26955
01131,Wilcox County,0102,26930
13099,Early County,1002,26967
13097,Douglas County,1002,26967
13095,Dougherty County,1002,26967
13093,Dooly County,1002,26967
13091,Dodge County,1001,26966
48215,Hidalgo County,4205,32141
48217,Hill County,4202,32138
48211,Hemphill County,4201,32137
48213,Henderson County,4202,32138
13255,Spalding County,1002,26967
13257,Stephens County,1001,26966
